date,league_id,league,fixture_id,home_team,away_team,score,outcome_pick,outcome_prob,outcome_odds,outcome_ev,outcome_decision,outcome_profit,total_pick,total_prob,total_odds,total_edge,total_decision,total_profit
2026-01-04,140,La Liga,1390989,Alaves,Oviedo,1-1,Home,0.5516500644867718,1.842,0.016139418784633763,NO BET,,Under,0.42165242165242167,1.424,0.08564487092094453,NO BET,
2026-01-04,140,La Liga,1390993,Mallorca,Girona,1-2,Home,0.5338274196842371,2.2920000000000003,0.22353244591627153,A,-1.0,Under,0.42165242165242167,1.666,-0.00596564816277334,NO BET,
2026-01-04,140,La Liga,1390996,Real Madrid,Real Betis,5-1,Home,0.7229319564838758,1.37,-0.009583219617090077,NO BET,,Over,0.515695067264574,1.366,-0.1739914388690016,NO BET,
2026-01-04,140,La Liga,1390997,Real Sociedad,Atletico Madrid,1-1,Home,0.3177824509456345,3.596,0.14274569360050182,NO BET,,Over,0.515695067264574,2.0519999999999996,0.050348532611108665,NO BET,
2026-01-04,140,La Liga,1390998,Sevilla,Levante,0-3,Home,0.5875556519199592,1.7880000000000003,0.05054950563288707,NO BET,,Under,0.42165242165242167,1.9080000000000001,-0.07678018022845612,NO BET,
2026-01-04,61,Ligue 1,1387843,Le Havre,Angers,2-1,Home,0.5722681235361133,2.118,0.21206388564948808,A,1.1179999999999999,Over,0.52,2.208,0.08760925449871476,NO BET,
2026-01-04,61,Ligue 1,1387845,Lorient,Metz,1-1,Away,0.37602157086382193,4.654000000000001,0.7500043908002276,NO BET,,Over,0.52,1.8240000000000003,-0.0037597911227154057,NO BET,
2026-01-04,61,Ligue 1,1387846,Marseille,Nantes,0-2,Draw,0.23369743094268847,5.99,0.399847611346704,NO BET,,Over,0.5739130434782609,1.4779999999999998,-0.06329854218693298,NO BET,
2026-01-04,61,Ligue 1,1387849,Paris Saint Germain,Paris FC,2-1,Away,0.12041647891312196,14.5,0.7460389442402684,NO BET,,Over,0.5739130434782609,1.376,-0.10786308973172976,NO BET,
2026-01-04,61,Ligue 1,1387842,Stade Brestois 29,Auxerre,2-0,Away,0.3772042669143345,3.9219999999999997,0.4793951348380199,NO BET,,Over,0.5394736842105263,1.996,0.06116735906677312,A,-1.0
2026-01-04,39,Premier League,1379162,Everton,Brentford,2-4,Home,0.4451443355323755,2.416,0.07546871464621918,NO BET,,Over,0.5465838509316768,2.226,0.11764593405122531,A,1.226
2026-01-04,39,Premier League,1379163,Fulham,Liverpool,2-2,Draw,0.2938150480817763,3.624,0.06478573424835732,NO BET,,Over,0.6792452830188679,1.7280000000000002,0.12830973208331697,A,0.7280000000000002
2026-01-04,39,Premier League,1379164,Leeds,Manchester United,1-1,Draw,0.3136761576330899,3.4299999999999997,0.07590922068149841,NO BET,,Over,0.5465838509316768,1.8960000000000001,0.03982006321055298,B,-0.5
2026-01-04,39,Premier League,1379165,Manchester City,Chelsea,1-1,Draw,0.2727763155298284,4.054,0.10583518315792428,B,1.5270000000000001,Over,0.6727272727272727,1.5,0.04716561521354323,B,-0.5
2026-01-04,39,Premier League,1379166,Newcastle,Crystal Palace,2-0,Home,0.6141387726350105,1.782,0.09439529283558867,NO BET,,Over,0.6792452830188679,1.8219999999999998,0.1532307148606994,A,-1.0
2026-01-04,39,Premier League,1379167,Tottenham,Sunderland,1-1,Draw,0.29142274323623274,3.662,0.06719008573108431,NO BET,,Over,0.5465838509316768,2.004,0.06629339450014166,B,-0.5
2026-01-04,135,Serie A,1378037,Fiorentina,Cremonese,1-0,Home,0.571056360521251,1.754,0.001632856354274237,NO BET,,Under,0.4910714285714285,1.8359999999999999,0.015916149068322838,B,0.4179999999999999
2026-01-04,135,Serie A,1378043,Hellas Verona,Torino,0-3,Away,0.39284880250359555,2.8560000000000003,0.12197617995026899,B,0.9280000000000002,Under,0.4090909090909091,1.554,0.0217529230490347,B,-0.5
2026-01-04,135,Serie A,1378039,Inter,Bologna,3-1,Away,0.1997433385323842,6.962000000000001,0.390613122862459,NO BET,,Under,0.4910714285714285,2.086,-0.05215773809523816,NO BET,
2026-01-04,135,Serie A,1378041,Lazio,Napoli,0-2,Draw,0.32397087959123105,3.026,-0.019664118356934934,NO BET,,Under,0.4910714285714285,1.522,0.11821498565129124,A,0.522
2026-01-06,39,Premier League,1379178,West Ham,Nottingham Forest,1-2,Draw,0.3152479752102471,3.436,0.0831920428224091,B,-0.5,Over,0.5465838509316768,1.934,0.049182603530429414,B,0.46699999999999997
2026-01-06,135,Serie A,1378047,Lecce,AS Roma,0-2,Home,0.19150213223272108,5.436000000000001,0.04100559081707189,NO BET,,Under,0.4910714285714285,1.614,0.08142675852066705,A,0.6140000000000001
2026-01-06,135,Serie A,1378051,Pisa,Como,0-3,Home,0.19855942821711248,4.932,-0.020704900033201135,NO BET,,Under,0.4090909090909091,1.762,-0.0497632575757575,NO BET,
2026-01-06,135,Serie A,1378052,Sassuolo,Juventus,0-3,Away,0.6069336379003676,1.7559999999999998,0.06577546815304536,A,0.7559999999999998,Under,0.4910714285714285,1.8539999999999999,0.009763017356475168,B,-0.5
2026-01-07,39,Premier League,1379170,Bournemouth,Tottenham,3-2,Draw,0.31057334590112684,3.656,0.1354561526145197,B,-0.5,Over,0.5465838509316768,1.6760000000000002,-0.02190224587573819,NO BET,
2026-01-07,39,Premier League,1379171,Brentford,Sunderland,3-0,Draw,0.3058581832133014,3.566,0.09069028133863277,B,-0.5,Over,0.5465838509316768,2.028,0.07197245196794622,B,0.514
2026-01-07,39,Premier League,1379172,Burnley,Manchester United,2-2,Draw,0.2779492736807569,3.8879999999999995,0.08066677607078265,B,1.4439999999999997,Over,0.5465838509316768,1.722,-0.006375650625955576,NO BET,
2026-01-07,39,Premier League,1379173,Crystal Palace,Aston Villa,0-0,Home,0.4247800823082119,2.8579999999999997,0.21402147523686943,B,-0.5,Over,0.5465838509316768,1.932,0.04814148333043078,B,-0.5
2026-01-07,39,Premier League,1379174,Everton,Wolves,1-1,Home,0.5715536803818048,1.782,0.01850865844037619,NO BET,,Over,0.6727272727272727,2.0839999999999996,0.21571841394665775,A,-1.0
2026-01-07,39,Premier League,1379175,Fulham,Chelsea,2-1,Home,0.33631222019287316,3.382,0.13740792869229712,NO BET,,Over,0.5465838509316768,1.794,0.014991161636637718,NO BET,
2026-01-07,39,Premier League,1379176,Manchester City,Brighton,1-1,Away,0.22496437308204356,7.042,0.5841991152437507,NO BET,,Over,0.6727272727272727,1.426,0.013875598086124485,NO BET,
2026-01-07,39,Premier League,1379177,Newcastle,Leeds,4-3,Home,0.6508496694390866,1.706,0.11034953606308173,NO BET,,Over,0.6727272727272727,1.8399999999999999,0.15015332358352595,A,0.8399999999999999
2026-01-07,135,Serie A,1378044,Bologna,Atalanta,0-2,Away,0.4343279471051051,2.5700000000000003,0.11622282406012019,B,0.7850000000000001,Under,0.4536082474226804,1.906,-0.04094286830124283,NO BET,
2026-01-07,135,Serie A,1378046,Lazio,Fiorentina,2-2,Draw,0.35687886817732795,3.214,0.1470086823219321,A,2.214,Under,0.4536082474226804,1.6759999999999997,0.022094344230095486,B,-0.5
2026-01-07,135,Serie A,1378049,Napoli,Hellas Verona,2-2,Away,0.1257531843660374,8.47,0.065129471580337,NO BET,,Under,0.4910714285714285,1.766,0.03355847520355287,B,-0.5
2026-01-07,135,Serie A,1378050,Parma,Inter,0-2,Home,0.19050626916730026,7.590000000000001,0.44594258297980915,NO BET,,Over,0.5470588235294118,1.6300000000000001,-0.03754871979372776,NO BET,
2026-01-07,135,Serie A,1378053,Torino,Udinese,1-2,Away,0.3224525841668987,3.346,0.07892634662244302,NO BET,,Under,0.23809523809523808,1.6320000000000001,-0.17780690257754478,NO BET,
2026-01-11,78,Bundesliga,1388444,Bayern München,VfL Wolfsburg,8-1,Draw,0.19662545638927095,8.85,0.7401352890450479,NO BET,,Over,0.6774193548387096,1.2079999999999997,-0.09970241637900257,NO BET,
2026-01-11,78,Bundesliga,1388445,Borussia Mönchengladbach,FC Augsburg,4-0,Draw,0.2781149696064593,3.632,0.010113569610660234,NO BET,,Over,0.5342465753424657,1.766,-0.005857591324200939,NO BET,
2026-01-11,140,La Liga,1391003,Levante,Espanyol,1-1,Home,0.4548812421281945,3.074,0.3983049383020698,NO BET,,Under,0.42165242165242167,1.7599999999999998,-0.03691975135435266,NO BET,
2026-01-11,140,La Liga,1391004,Rayo Vallecano,Mallorca,2-1,Home,0.6080043207860479,1.8079999999999998,0.09927181198117463,NO BET,,Under,0.42165242165242167,1.6179999999999999,0.010366198978298602,NO BET,
2026-01-11,135,Serie A,1378056,Fiorentina,AC Milan,1-1,Home,0.2929634378362379,4.319999999999999,0.26560205145254767,NO BET,,Under,0.4090909090909091,1.7600000000000002,-0.05019927880053143,NO BET,
2026-01-11,135,Serie A,1378063,Hellas Verona,Lazio,0-1,Away,0.5298107233306106,2.2359999999999998,0.18465677736724517,A,1.2359999999999998,Over,0.5470588235294118,2.488,0.1644285505765583,A,-1.0
2026-01-11,135,Serie A,1378058,Inter,Napoli,2-2,Away,0.2128703799094667,4.762,0.013688749128880406,NO BET,,Over,0.5470588235294118,2.024,0.07607084652993457,B,0.512
2026-01-11,135,Serie A,1378060,Lecce,Parma,1-2,Away,0.3863505791599105,2.9259999999999997,0.130461794621898,B,0.9629999999999999,Under,0.4910714285714285,1.538,0.11037835926449774,A,-1.0
2026-01-12,140,La Liga,1391006,Sevilla,Celta Vigo,0-1,Draw,0.3915364299165379,3.3340000000000005,0.30538245734173763,A,-1.0,Under,0.42165242165242167,1.8199999999999998,-0.049362071101201555,NO BET,
2026-01-12,135,Serie A,1378057,Genoa,Cagliari,3-0,Away,0.32153522790580447,4.037999999999999,0.2983592502836383,NO BET,,Under,0.4910714285714285,1.496,0.12458441240288365,A,-1.0
2026-01-12,135,Serie A,1378059,Juventus,Cremonese,5-0,Away,0.14166687246333548,11.91,0.6872524510383256,NO BET,,Under,0.4536082474226804,2.1740000000000004,-0.10785869472607995,NO BET,
2026-01-13,78,Bundesliga,1388453,Borussia Dortmund,Werder Bremen,3-0,Draw,0.23129413859452347,5.206,0.20411728552308928,NO BET,,Over,0.6842105263157895,1.426,0.025849242175875697,NO BET,
