iter	Passed	Remaining
0	2	2058
1	4	1931
2	6	2019
3	9	2234
4	12	2226
5	14	2180
6	16	2134
7	18	2097
8	21	2083
9	23	2104
10	25	2059
11	27	2034
12	29	2033
13	31	2009
14	34	2022
15	36	2040
16	39	2036
17	41	2030
18	43	2033
19	45	2009
20	47	1994
21	49	1971
22	51	1963
23	53	1949
24	55	1954
25	57	1935
26	59	1919
27	61	1921
28	63	1904
29	65	1890
30	67	1893
31	69	1882
32	71	1870
33	73	1869
34	75	1871
35	77	1867
36	80	1870
37	82	1864
38	84	1861
39	86	1865
40	88	1862
41	90	1854
42	93	1860
43	95	1857
44	97	1852
45	98	1827
46	100	1824
47	102	1821
48	104	1810
49	106	1803
50	108	1799
51	110	1801
52	113	1806
53	114	1800
54	116	1793
55	119	1794
56	121	1792
57	122	1783
58	125	1787
59	127	1778
60	129	1776
61	131	1775
62	133	1770
63	135	1765
64	137	1761
65	139	1757
66	140	1752
67	143	1758
68	145	1754
69	148	1758
70	150	1759
71	152	1759
72	154	1753
73	156	1747
74	158	1744
75	159	1729
76	161	1725
77	163	1723
78	165	1719
79	167	1713
80	169	1716
81	172	1716
82	174	1713
83	176	1715
84	179	1719
85	181	1719
86	184	1720
87	186	1717
88	187	1710
89	190	1711
90	192	1707
91	194	1705
92	196	1702
93	198	1702
94	199	1689
95	201	1684
96	203	1682
97	204	1676
98	206	1673
99	209	1675
100	211	1674
101	213	1672
102	215	1667
103	217	1663
104	219	1661
105	222	1664
106	224	1660
107	226	1658
108	228	1656
109	229	1651
110	231	1649
111	234	1646
112	235	1642
113	237	1639
114	239	1637
115	241	1635
116	244	1634
117	247	1637
118	249	1635
119	251	1635
120	253	1634
121	255	1631
122	257	1628
123	259	1625
124	261	1621
125	262	1611
126	264	1609
127	266	1606
128	268	1601
129	270	1602
130	273	1606
131	275	1603
132	277	1603
133	280	1604
134	282	1600
135	284	1598
136	287	1599
137	289	1598
138	291	1595
139	293	1592
140	295	1588
141	297	1586
142	299	1583
143	300	1578
144	302	1574
145	305	1575
146	306	1571
147	308	1568
148	311	1568
149	313	1568
150	315	1566
151	318	1568
152	320	1564
153	322	1561
154	324	1561
155	327	1560
156	328	1556
157	331	1554
158	333	1552
159	335	1550
160	337	1549
161	339	1546
162	341	1542
163	343	1540
164	346	1541
165	348	1542
166	351	1541
167	352	1537
168	354	1534
169	357	1535
170	359	1531
171	361	1529
172	363	1526
173	365	1522
174	366	1519
175	369	1518
176	371	1515
177	372	1511
178	374	1509
