feature,gain,weight,cover
home_goals_for_mean_5,9.383222579956055,4.0,557.6720581054688
abs_elo_diff,9.041876792907715,61.0,599.4884033203125
elo_diff,8.007749557495117,19.0,456.5033874511719
p_away_elo,7.661222457885742,9.0,688.7975463867188
elo_home_pre,7.473774433135986,75.0,571.8282470703125
home_points_sum_3,7.175010681152344,1.0,167.89463806152344
sum_expected_goals_ema_5,7.1644697189331055,4.0,178.08668518066406
home_xg_per_shot_mean_5,7.150198936462402,7.0,399.43109130859375
home_expected_goals_mean_5,6.857107639312744,20.0,645.4740600585938
delta_expected_goals_ema_5,6.647617816925049,6.0,454.4394836425781
home_expected_goals_ema_5,6.643139839172363,19.0,549.5509643554688
h2h_goals_avg_lastN,6.541954040527344,56.0,554.9367065429688
rel_xg_per_shot_mean_5_diff,6.5411057472229,6.0,247.9095001220703
delta_expected_goals_mean_5,6.506219387054443,9.0,490.9441223144531
home_expected_goals_sum_3,6.425023078918457,15.0,477.7293701171875
delta_inj_missing_fixture_cnt,6.423595428466797,19.0,532.666015625
away_days_since,6.400269985198975,44.0,713.6621704101562
away_goals_for_away_sum_3,6.382369041442871,16.0,590.7146606445312
home_matches_7d,6.367923736572266,3.0,846.4561157226562
home_goals_against_away_mean_5,6.345855712890625,15.0,375.6972961425781
away_goals_against_home_mean_5,6.2774858474731445,10.0,341.4330749511719
sum_expected_goals_mean_5,6.249088764190674,11.0,470.3837585449219
away_expected_goals_home_std_5,6.2247233390808105,46.0,457.7642517089844
home_inj_total_cnt,6.193930149078369,5.0,237.95883178710938
h2h_drawrate_centered,6.176487445831299,18.0,316.2147521972656
p_home_elo,6.160314083099365,3.0,67.4469985961914
away_goals_against_home_sum_3,6.12119722366333,6.0,237.6727294921875
home_inj_missing_fixture_cnt,6.041798114776611,1.0,242.9258270263672
home_goals_against_sum_3,5.976241111755371,4.0,715.93798828125
delta_goals_for_mean_5,5.97211217880249,5.0,249.2627410888672
abs_delta_expected_goals_mean_5,5.958255290985107,7.0,368.1626281738281
away_expected_goals_ema_5,5.941174030303955,6.0,342.368408203125
home_days_since,5.935279369354248,36.0,463.1597900390625
sum_tempo_mean_5,5.893547058105469,17.0,593.5614013671875
home_xg_per_shot_home_mean_5,5.887628078460693,29.0,605.4601440429688
home_tempo_away_ema_5,5.8469719886779785,43.0,333.9886474609375
away_goals_for_sum_3,5.831414222717285,1.0,127.51774597167969
rel_points_mean_5_diff,5.816633224487305,1.0,208.84278869628906
h2h_gdiff_avg_lastN,5.807641506195068,27.0,353.3504638671875
away_tempo_std_5,5.765324592590332,67.0,350.1623840332031
away_sot_rate_std_5,5.730616569519043,36.0,270.7101135253906
home_goals_for_home_sum_3,5.726391315460205,21.0,589.8817138671875
rel_tempo_mean_5_ratio,5.726230144500732,44.0,504.0428771972656
home_points_away_sum_3,5.7089033126831055,1.0,158.23756408691406
elo_away_pre,5.703806400299072,29.0,521.3692016601562
home_goals_against_away_ema_5,5.6900224685668945,42.0,395.91900634765625
away_expected_goals_std_5,5.674083232879639,30.0,406.4781188964844
home_goals_against_away_sum_3,5.668026924133301,2.0,289.3748779296875
delta_tempo_mean_5,5.664285182952881,16.0,358.8528137207031
sum_xg_per_shot_mean_5,5.656223297119141,11.0,408.1548156738281
away_points_home_sum_3,5.655571937561035,5.0,268.4029846191406
home_points_std_5,5.640508651733398,13.0,257.3480224609375
away_goals_against_away_mean_5,5.6285858154296875,7.0,434.4119567871094
home_xg_per_shot_home_std_5,5.603791236877441,20.0,198.13064575195312
away_goals_for_away_std_5,5.590290069580078,10.0,420.37713623046875
away_goals_for_away_ema_5,5.5816240310668945,37.0,390.9705810546875
away_goals_against_ema_5,5.577442169189453,31.0,399.7996826171875
away_xg_per_shot_slope_5,5.57267951965332,25.0,442.68670654296875
away_goals_for_home_mean_5,5.565399646759033,4.0,436.96044921875
home_goals_against_ema_5,5.552585124969482,62.0,583.3853759765625
home_expected_goals_std_5,5.544197082519531,16.0,285.681640625
home_goals_for_slope_5,5.525236129760742,24.0,388.8211975097656
delta_xg_per_shot_mean_5,5.500391960144043,5.0,518.6463012695312
away_goals_for_home_sum_3,5.496241092681885,6.0,380.5843505859375
home_xg_per_shot_ema_5,5.480618953704834,11.0,475.3331298828125
home_sot_rate_away_mean_5,5.46589469909668,60.0,554.4150390625
away_inj_total_cnt,5.445929050445557,11.0,503.4432678222656
away_goals_against_home_ema_5,5.439314365386963,47.0,434.5158386230469
abs_delta_tempo_mean_5,5.402691841125488,17.0,478.9233093261719
home_tempo_mean_5,5.393713474273682,21.0,430.9508056640625
delta_points_mean_5,5.379993915557861,7.0,387.9651184082031
sum_points_sum_3,5.360974311828613,20.0,597.1587524414062
away_expected_goals_away_ema_5,5.359701156616211,8.0,403.4598388671875
home_expected_goals_away_sum_3,5.3578782081604,22.0,666.44677734375
home_expected_goals_home_mean_5,5.342641353607178,27.0,664.8764038085938
league_draw_prior,5.331990718841553,14.0,259.60565185546875
home_sot_rate_ema_5,5.331977844238281,56.0,448.77099609375
home_xg_per_shot_away_ema_5,5.328854560852051,10.0,405.8699645996094
away_sot_rate_sum_3,5.325037479400635,27.0,353.3294372558594
away_xg_per_shot_home_std_5,5.311978816986084,40.0,577.185546875
home_expected_goals_home_ema_5,5.308962821960449,17.0,533.8156127929688
away_points_away_std_5,5.2814226150512695,10.0,181.90609741210938
away_goals_for_home_std_5,5.280608654022217,19.0,374.5314636230469
home_tempo_home_ema_5,5.2798380851745605,35.0,387.1187438964844
home_goals_for_ema_5,5.272728443145752,47.0,470.19183349609375
away_xg_per_shot_away_mean_5,5.2668232917785645,21.0,440.9891052246094
away_goals_against_away_ema_5,5.242422103881836,89.0,515.3299560546875
home_sot_rate_home_std_5,5.238509178161621,52.0,347.23162841796875
delta_sot_rate_mean_5,5.236438751220703,32.0,427.9848937988281
delta_expected_goals_slope_5,5.234229564666748,11.0,259.5955810546875
home_tempo_ema_5,5.233950614929199,46.0,479.9980773925781
home_goals_against_home_mean_5,5.230047702789307,23.0,468.0098571777344
away_xg_per_shot_sum_3,5.2254252433776855,30.0,568.3427734375
away_expected_goals_home_ema_5,5.221083641052246,19.0,405.5152587890625
away_xg_per_shot_away_std_5,5.217442989349365,14.0,145.65602111816406
sum_goals_for_std_5,5.210048675537109,17.0,306.0666198730469
away_xg_per_shot_home_sum_3,5.20994234085083,26.0,535.183837890625
away_tempo_mean_5,5.208094596862793,18.0,423.8905029296875
away_points_ema_5,5.207773685455322,55.0,458.9576416015625
away_goals_for_mean_5,5.2066216468811035,23.0,643.705810546875
home_goals_against_home_std_5,5.206000804901123,7.0,224.9356689453125
home_tempo_away_mean_5,5.20225715637207,27.0,342.9640808105469
home_sot_rate_std_5,5.202113628387451,64.0,374.0589904785156
sum_points_mean_5,5.187633991241455,38.0,640.4644775390625
home_goals_for_away_ema_5,5.187343597412109,35.0,358.36260986328125
rel_expected_goals_mean_5_diff,5.1847333908081055,1.0,796.7608642578125
home_sot_rate_home_sum_3,5.183874130249023,42.0,449.3383483886719
away_expected_goals_sum_3,5.182690143585205,12.0,167.03970336914062
away_sot_rate_home_std_5,5.17983865737915,47.0,436.82550048828125
home_goals_against_std_5,5.1744608879089355,33.0,611.5927734375
away_xg_per_shot_home_ema_5,5.157718181610107,28.0,615.9014892578125
away_tempo_away_ema_5,5.156334400177002,46.0,446.7079162597656
away_sot_rate_ema_5,5.1562042236328125,29.0,525.7501831054688
home_xg_per_shot_away_std_5,5.153536319732666,41.0,468.0310974121094
away_tempo_slope_5,5.152796745300293,43.0,602.1869506835938
rel_goals_for_sum_3_ratio,5.150477886199951,35.0,451.4278869628906
home_sot_rate_away_ema_5,5.149205207824707,43.0,320.1129150390625
away_expected_goals_slope_5,5.145158767700195,41.0,514.0013427734375
away_inj_missing_fixture_cnt,5.134337902069092,12.0,406.8907165527344
sum_sot_rate_mean_5,5.128396987915039,49.0,585.4286499023438
rel_goals_for_mean_5_ratio,5.1274189949035645,23.0,337.02020263671875
away_sot_rate_away_mean_5,5.125735759735107,20.0,232.93392944335938
home_tempo_sum_3,5.113240718841553,40.0,462.2958984375
home_goals_against_mean_5,5.112387657165527,19.0,547.79345703125
sum_tempo_ema_5,5.105649948120117,4.0,619.1749267578125
home_tempo_home_std_5,5.103981971740723,52.0,324.6192932128906
away_points_away_sum_3,5.086732387542725,16.0,608.5352172851562
home_points_home_ema_5,5.08225154876709,41.0,385.41259765625
home_expected_goals_slope_5,5.079074859619141,11.0,342.6045837402344
home_expected_goals_home_std_5,5.072214603424072,24.0,539.5662231445312
home_goals_against_home_sum_3,5.065402507781982,14.0,599.1417236328125
away_expected_goals_mean_5,5.043429374694824,13.0,382.3022766113281
