feature,gain,weight,cover
p_away_elo,45.58808898925781,40.0,316.5874938964844
p_home_elo,38.224220275878906,10.0,307.84197998046875
elo_diff,28.479265213012695,90.0,298.5621032714844
abs_elo_diff,12.222911834716797,18.0,203.51287841796875
elo_home_pre,9.273333549499512,30.0,260.7192687988281
away_tempo_home_sum_3,6.537096977233887,2.0,100.51376342773438
delta_tempo_mean_5,6.509056568145752,16.0,213.87281799316406
elo_away_pre,6.155125141143799,11.0,290.3359069824219
rel_tempo_mean_5_ratio,6.060819625854492,30.0,220.19581604003906
rel_tempo_mean_5_diff,6.006049156188965,8.0,245.97372436523438
rel_expected_goals_ema_5_ratio,5.5767822265625,1.0,163.50881958007812
away_expected_goals_mean_5,5.009964466094971,2.0,130.46435546875
away_tempo_ema_5,4.918393135070801,37.0,243.34815979003906
abs_delta_expected_goals_mean_5,4.908295631408691,2.0,138.49148559570312
delta_goals_for_mean_5,4.316213130950928,2.0,257.4140625
home_tempo_ema_5,4.31618070602417,14.0,227.03860473632812
away_tempo_sum_3,4.2947821617126465,24.0,155.9154815673828
away_tempo_mean_5,4.273111343383789,8.0,117.79856872558594
home_goals_for_home_ema_5,4.2275824546813965,21.0,306.559814453125
rel_sot_rate_mean_5_diff,4.200948238372803,2.0,63.731300354003906
away_tempo_home_ema_5,4.1445231437683105,14.0,257.01031494140625
away_points_away_sum_3,4.135453701019287,2.0,112.80619812011719
delta_goals_against_mean_5,4.124305248260498,8.0,213.3660888671875
home_goals_for_mean_5,4.110408782958984,1.0,66.1551513671875
sum_tempo_mean_5,4.018253326416016,2.0,292.8372802734375
away_goals_against_sum_3,4.0101118087768555,2.0,150.17752075195312
home_xg_per_shot_slope_5,3.9905121326446533,1.0,143.94384765625
away_expected_goals_home_ema_5,3.9671361446380615,1.0,191.54502868652344
away_points_away_ema_5,3.849648952484131,15.0,235.42518615722656
home_expected_goals_home_mean_5,3.838742733001709,5.0,185.0240020751953
home_xg_per_shot_home_mean_5,3.813131809234619,14.0,257.7488708496094
home_goals_against_std_5,3.729053020477295,9.0,177.47369384765625
away_points_home_std_5,3.7219691276550293,1.0,153.4392852783203
away_xg_per_shot_away_ema_5,3.6924712657928467,1.0,240.67535400390625
away_goals_for_mean_5,3.6831703186035156,4.0,195.33627319335938
delta_goals_against_std_5,3.67806077003479,11.0,186.5994110107422
away_goals_for_home_ema_5,3.635728597640991,12.0,209.29261779785156
h2h_gdiff_avg_lastN,3.6343727111816406,5.0,151.27740478515625
home_expected_goals_mean_5,3.6275033950805664,3.0,141.67283630371094
rel_sot_rate_mean_5_ratio,3.597421884536743,2.0,98.12364959716797
home_expected_goals_home_ema_5,3.5699098110198975,6.0,87.5275650024414
away_points_away_std_5,3.563821315765381,1.0,177.7890625
away_goals_against_home_std_5,3.543835401535034,1.0,73.44935607910156
delta_xg_per_shot_mean_5,3.524318218231201,4.0,201.09873962402344
away_xg_per_shot_ema_5,3.520655632019043,2.0,88.08619689941406
home_tempo_home_ema_5,3.5114893913269043,28.0,223.4832763671875
sum_tempo_ema_5,3.5050549507141113,2.0,74.1628189086914
