feature,gain,weight,cover
sum_xg_per_shot_mean_5,3.0650384426116943,2.0,138.73797607421875
home_xg_per_shot_sum_3,2.8832273483276367,2.0,390.7198791503906
sum_expected_goals_ema_5,2.8789994716644287,17.0,330.5850524902344
home_sot_rate_away_mean_5,2.713686943054199,9.0,55.768863677978516
home_sot_rate_std_5,2.6833443641662598,19.0,136.90988159179688
home_xg_per_shot_home_mean_5,2.6822192668914795,7.0,190.9203643798828
home_xg_per_shot_away_sum_3,2.6820249557495117,5.0,214.5185546875
league_over25_prior,2.6813549995422363,36.0,214.22767639160156
away_xg_per_shot_std_5,2.665316343307495,11.0,101.70541381835938
home_sot_rate_mean_5,2.6324808597564697,6.0,62.73147964477539
home_sot_rate_ema_5,2.4340732097625732,5.0,122.41414642333984
home_xg_per_shot_away_ema_5,2.3432838916778564,18.0,201.74928283691406
home_xg_per_shot_mean_5,2.318146228790283,5.0,213.05355834960938
away_sot_rate_ema_5,2.292977809906006,11.0,68.2218017578125
away_points_home_sum_3,2.2366926670074463,5.0,78.66453552246094
away_xg_per_shot_mean_5,2.2360782623291016,14.0,139.75192260742188
rel_expected_goals_mean_5_diff,2.2229785919189453,2.0,221.06875610351562
home_xg_per_shot_home_sum_3,2.19673490524292,7.0,275.5760192871094
away_sot_rate_away_std_5,2.146923303604126,38.0,104.25472259521484
home_expected_goals_home_ema_5,2.1449999809265137,39.0,300.0918884277344
home_xg_per_shot_home_ema_5,2.144796133041382,21.0,194.38302612304688
away_sot_rate_mean_5,2.122467279434204,18.0,126.57231903076172
away_sot_rate_home_ema_5,2.0982377529144287,14.0,48.98798370361328
home_sot_rate_away_std_5,2.0793533325195312,19.0,83.20269775390625
home_xg_per_shot_away_std_5,2.076826810836792,12.0,179.1554412841797
home_xg_per_shot_ema_5,2.0408177375793457,2.0,392.567138671875
home_xg_per_shot_home_std_5,2.0290589332580566,26.0,263.5189208984375
home_xg_per_shot_std_5,2.021052122116089,12.0,81.7523422241211
h2h_goals_avg_lastN,1.9930520057678223,124.0,197.29705810546875
abs_elo_diff,1.9903167486190796,111.0,220.4383087158203
away_xg_per_shot_away_ema_5,1.96445631980896,28.0,306.700439453125
sum_goals_for_mean_5,1.9502900838851929,45.0,254.54209899902344
sum_tempo_mean_5,1.941670536994934,39.0,282.6537780761719
away_sot_rate_sum_3,1.9412020444869995,16.0,99.0613021850586
home_goals_against_std_5,1.9410861730575562,59.0,307.93603515625
home_tempo_ema_5,1.9371695518493652,88.0,318.7460632324219
home_xg_per_shot_away_mean_5,1.9304171800613403,11.0,165.7554931640625
away_xg_per_shot_away_std_5,1.9253342151641846,11.0,139.63885498046875
away_xg_per_shot_away_sum_3,1.9145554304122925,31.0,218.6399383544922
delta_xg_per_shot_mean_5,1.8982402086257935,14.0,225.1097869873047
away_xg_per_shot_home_mean_5,1.8922646045684814,7.0,198.63450622558594
away_goals_for_home_sum_3,1.8875492811203003,15.0,225.3556365966797
abs_delta_sot_rate_mean_5,1.8849868774414062,42.0,145.35061645507812
away_goals_for_home_mean_5,1.8840855360031128,28.0,242.23277282714844
home_expected_goals_mean_5,1.8716464042663574,32.0,189.3161163330078
rel_sot_rate_mean_5_diff,1.87028968334198,6.0,197.8417205810547
home_sot_rate_away_sum_3,1.8658376932144165,18.0,75.4532699584961
away_goals_for_away_std_5,1.863167643547058,22.0,116.03907012939453
away_sot_rate_away_ema_5,1.8614205121994019,16.0,137.57888793945312
home_expected_goals_home_sum_3,1.8486436605453491,54.0,215.8904266357422
home_goals_for_home_std_5,1.845726490020752,33.0,206.03672790527344
away_sot_rate_home_mean_5,1.833835482597351,14.0,80.28079986572266
away_sot_rate_slope_5,1.833805799484253,20.0,72.76703643798828
home_goals_against_home_sum_3,1.829901933670044,14.0,150.2645721435547
home_tempo_home_std_5,1.8292546272277832,92.0,180.07249450683594
rel_sot_rate_mean_5_ratio,1.828635811805725,11.0,98.50663757324219
home_inj_total_cnt,1.817033052444458,13.0,170.04788208007812
rel_goals_for_sum_3_diff,1.815365195274353,33.0,185.52972412109375
home_points_home_std_5,1.8148984909057617,40.0,176.44561767578125
sum_sot_rate_mean_5,1.8141647577285767,6.0,51.76813888549805
away_xg_per_shot_slope_5,1.7920936346054077,14.0,101.30659484863281
home_tempo_home_ema_5,1.7917097806930542,85.0,261.4658203125
home_goals_for_home_sum_3,1.787622094154358,7.0,119.42826080322266
home_sot_rate_home_sum_3,1.7857487201690674,13.0,351.55010986328125
home_sot_rate_slope_5,1.7839040756225586,24.0,56.17788314819336
away_points_away_sum_3,1.7822185754776,14.0,108.794189453125
home_goals_for_away_sum_3,1.773494839668274,23.0,261.693115234375
rel_points_mean_5_diff,1.7732069492340088,1.0,662.7064208984375
home_goals_against_away_sum_3,1.7653254270553589,11.0,218.62327575683594
away_points_home_std_5,1.7549831867218018,33.0,75.69229125976562
h2h_gdiff_centered,1.738241195678711,10.0,253.6977081298828
sum_tempo_ema_5,1.7330988645553589,22.0,171.0676727294922
delta_sot_rate_mean_5,1.7304184436798096,26.0,121.01103210449219
away_inj_total_cnt,1.7302266359329224,24.0,318.6108093261719
home_xg_per_shot_slope_5,1.7287373542785645,18.0,308.82220458984375
away_sot_rate_away_mean_5,1.7186115980148315,15.0,139.3727569580078
away_sot_rate_home_std_5,1.7156282663345337,15.0,101.10717010498047
delta_goals_against_std_5,1.7117869853973389,113.0,232.12156677246094
elo_home_pre,1.7003061771392822,82.0,284.2427673339844
delta_goals_for_std_5,1.697048544883728,129.0,261.645263671875
abs_delta_tempo_mean_5,1.6909775733947754,66.0,202.64710998535156
home_points_std_5,1.6896401643753052,27.0,133.0711669921875
away_goals_against_away_std_5,1.6860421895980835,32.0,192.15640258789062
away_xg_per_shot_away_mean_5,1.6854420900344849,8.0,132.7479248046875
home_points_mean_5,1.6851978302001953,9.0,210.62933349609375
home_sot_rate_home_std_5,1.680131435394287,31.0,92.40155792236328
away_xg_per_shot_ema_5,1.6797269582748413,5.0,143.2925262451172
away_goals_for_std_5,1.671040654182434,37.0,195.25318908691406
away_goals_for_sum_3,1.6684348583221436,20.0,352.185546875
away_sot_rate_away_sum_3,1.6643764972686768,14.0,172.7595672607422
sum_goals_for_std_5,1.66139554977417,99.0,211.8234100341797
away_expected_goals_home_mean_5,1.658049464225769,51.0,242.5448760986328
away_tempo_away_std_5,1.6468391418457031,75.0,210.04345703125
away_goals_for_home_std_5,1.6448485851287842,44.0,149.25376892089844
sum_points_sum_3,1.6435766220092773,20.0,211.77206420898438
home_goals_against_ema_5,1.6416990756988525,95.0,236.01605224609375
home_sot_rate_home_mean_5,1.632584810256958,11.0,295.4538269042969
away_goals_for_ema_5,1.6324069499969482,64.0,230.73280334472656
away_expected_goals_away_ema_5,1.6285622119903564,42.0,310.4117431640625
