id,season,league_name,canonical_team_name,canonical_player_name,api_player_id,api_player_name,api_team_id,api_team_name,understat_player_id,understat_player_name,understat_team_id,understat_team_name,mapping_method,confidence,notes,updated_dttm
9532,2025,Premier League,arsenal,a annous,457731,A. Annous,42,Arsenal,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9467,2025,Premier League,arsenal,gabriel magalhaes,22224,Gabriel Magalhães,42,Arsenal,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9475,2025,Premier League,arsenal,j kiwior,61431,J. Kiwior,42,Arsenal,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9451,2025,Premier League,arsenal,kepa,2273,Kepa,42,Arsenal,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9501,2025,Premier League,aston villa,j wright,284390,J. Wright,66,Aston Villa,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9491,2025,Premier League,aston villa,s iling junior,162173,S. Iling-Junior,66,Aston Villa,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9520,2025,Premier League,aston villa,s proctor,398004,S. Proctor,66,Aston Villa,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9505,2025,Premier League,aston villa,t patterson,308843,T. Patterson,66,Aston Villa,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9513,2025,Premier League,aston villa,triston rowe,360269,Triston Rowe,66,Aston Villa,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9474,2025,Premier League,bournemouth,j araujo,51051,J. Araujo,35,Bournemouth,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9452,2025,Premier League,bournemouth,p billing,2734,P. Billing,35,Bournemouth,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9479,2025,Premier League,bournemouth,petrovic,118307,Đ. Petrović,35,Bournemouth,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9478,2025,Premier League,bournemouth,r faivre,84082,R. Faivre,35,Bournemouth,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9522,2025,Premier League,bournemouth,remy rees dottin,402434,Remy Rees-Dottin,35,Bournemouth,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9485,2025,Premier League,bournemouth,w dennis,151756,W. Dennis,35,Bournemouth,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9528,2025,Premier League,brentford,benjamin arthur,430827,Benjamin Arthur,55,Brentford,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9456,2025,Premier League,brentford,m roerslev,15745,M. Roerslev,55,Brentford,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9506,2025,Premier League,brighton hove albion,c tasker,328076,C. Tasker,51,Brighton,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9449,2025,Premier League,brighton hove albion,f kad oglu,1361,F. Kadıoğlu,51,Brighton,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9524,2025,Premier League,brighton hove albion,f simmonds,412086,F. Simmonds,51,Brighton,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9455,2025,Premier League,brighton hove albion,igor,7600,Igor,51,Brighton,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9459,2025,Premier League,brighton hove albion,j steele,18960,J. Steele,51,Brighton,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9482,2025,Premier League,brighton hove albion,t lamptey,138815,T. Lamptey,51,Brighton,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9493,2025,Premier League,brighton hove albion,t mcgill,167663,T. McGill,51,Brighton,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9498,2025,Premier League,burnley,a ramsey,278079,A. Ramsey,44,Burnley,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9450,2025,Premier League,burnley,h delcroix,1411,H. Delcroix,44,Burnley,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9497,2025,Premier League,burnley,l ugochukwu,270508,L. Ugochukwu,44,Burnley,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9508,2025,Premier League,burnley,m wei,328273,M. Weiß,44,Burnley,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
9526,2025,Premier League,burnley,marley leuluai,416256,Marley Leuluai,44,Burnley,,,,,api_only,0.0000,,2026-03-11 00:30:47.109504-07
