id,season,league_name,canonical_team_name,canonical_player_name,api_player_id,api_player_name,api_team_id,api_team_name,understat_player_id,understat_player_name,understat_team_id,understat_team_name,mapping_method,confidence,notes,updated_dttm
9065,2025,Premier League,arsenal,christian n rgaard,,,,,7083,Christian Nørgaard,83,Arsenal,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9002,2025,Premier League,arsenal,gabriel,,,,,5613,Gabriel,83,Arsenal,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
8990,2025,Premier League,arsenal,gabriel jesus,,,,,5543,Gabriel Jesus,83,Arsenal,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9216,2025,Premier League,arsenal,piero hincapie,,,,,9911,Piero Hincapié,83,Arsenal,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9439,2025,Premier League,aston villa,alysson edward,,,,,14446,Alysson Edward,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9380,2025,Premier League,aston villa,andres garcia,,,,,13392,Andrés García,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9426,2025,Premier League,aston villa,george hemmings,,,,,14193,George Hemmings,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9086,2025,Premier League,aston villa,harvey elliott,,,,,7546,Harvey Elliott,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9030,2025,Premier League,aston villa,jadon sancho,,,,,6345,Jadon Sancho,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
8985,2025,Premier League,aston villa,leon bailey,,,,,5221,Leon Bailey,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
8921,2025,Premier League,aston villa,ross barkley,,,,,592,Ross Barkley,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
8930,2025,Premier League,aston villa,tammy abraham,,,,,702,Tammy Abraham,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9017,2025,Premier League,aston villa,victor lindelof,,,,,6080,Victor Lindelöf,71,Aston Villa,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9327,2025,Premier League,bournemouth,alejandro jimenez,,,,,12168,Alejandro Jiménez,73,Bournemouth,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9435,2025,Premier League,bournemouth,alex toth,,,,,14374,Alex Tóth,73,Bournemouth,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9321,2025,Premier League,bournemouth,djordje petrovic,,,,,12032,Djordje Petrovic,73,Bournemouth,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9026,2025,Premier League,bournemouth,enes unal,,,,,6219,Enes Ünal,73,Bournemouth,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
8965,2025,Premier League,bournemouth,lewis cook,,,,,1789,Lewis Cook,73,Bournemouth,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9190,2025,Premier League,bournemouth,rayan,,,,,14395,Rayan,73,Bournemouth,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9416,2025,Premier League,bournemouth,veljko milosavljevic,,,,,14027,Veljko Milosavljevic,73,Bournemouth,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9036,2025,Premier League,brentford,reiss nelson,,,,,6492,Reiss Nelson,244,Brentford,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9428,2025,Premier League,brentford,romelle donovan,,,,,14217,Romelle Donovan,244,Brentford,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9362,2025,Premier League,brighton hove albion,ferdi kadioglu,,,,,13066,Ferdi Kadioglu,220,Brighton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9381,2025,Premier League,brighton hove albion,joe knight,,,,,13399,Joe Knight,220,Brighton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9424,2025,Premier League,brighton hove albion,nehemiah oriola,,,,,14127,Nehemiah Oriola,220,Brighton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
8913,2025,Premier League,brighton hove albion,pascal gro,,,,,239,Pascal Groß,220,Brighton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9014,2025,Premier League,brighton hove albion,solly march,,,,,6049,Solly March,220,Brighton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9184,2025,Premier League,burnley,chimuanya ugochukwu,,,,,9451,Chimuanya Ugochukwu,92,Burnley,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9166,2025,Premier League,burnley,florentino luis,,,,,8969,Florentino Luís,92,Burnley,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
8937,2025,Premier League,burnley,james ward prowse,,,,,843,James Ward-Prowse,92,Burnley,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9238,2025,Premier League,chelsea,alejandro garnacho,,,,,10552,Alejandro Garnacho,80,Chelsea,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9072,2025,Premier League,chelsea,benoit badiashile mukinayi,,,,,7240,Benoit Badiashile Mukinayi,80,Chelsea,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9287,2025,Premier League,chelsea,facundo buonanotte,,,,,11362,Facundo Buonanotte,80,Chelsea,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9278,2025,Premier League,chelsea,mamadou sarr,,,,,11253,Mamadou Sarr,80,Chelsea,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9221,2025,Premier League,chelsea,romeo lavia,,,,,10004,Romeo Lavia,80,Chelsea,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9252,2025,Premier League,crystal palace,brennan johnson,,,,,10760,Brennan Johnson,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9274,2025,Premier League,crystal palace,chadi riad,,,,,11167,Chadi Riad,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9345,2025,Premier League,crystal palace,christantus uche,,,,,12726,Christantus Uche,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9035,2025,Premier League,crystal palace,eddie nketiah,,,,,6482,Eddie Nketiah,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9108,2025,Premier League,crystal palace,evann guessand,,,,,8006,Evann Guessand,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9270,2025,Premier League,crystal palace,j rgen strand larsen,,,,,11070,Jørgen Strand Larsen,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9365,2025,Premier League,crystal palace,jaydee canvot,,,,,13091,Jaydee Canvot,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9430,2025,Premier League,crystal palace,joel drakes thomas,,,,,14263,Joél Drakes-Thomas,78,Crystal Palace,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9135,2025,Premier League,everton,jarrad branthwaite,,,,,8476,Jarrad Branthwaite,72,Everton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9284,2025,Premier League,everton,merlin rohl,,,,,11331,Merlin Röhl,72,Everton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9233,2025,Premier League,everton,nathan patterson,,,,,10292,Nathan Patterson,72,Everton,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9374,2025,Premier League,fulham,jonah kusi asare,,,,,13262,Jonah Kusi-Asare,228,Fulham,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9419,2025,Premier League,fulham,kevin,,,,,14030,Kevin,228,Fulham,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
9288,2025,Premier League,leeds,facundo buonanotte,,,,,11362,Facundo Buonanotte,245,Leeds,understat_only,0.0000,,2026-03-11 00:30:47.109504-07
