match_id,datetime,isResult,home_id,home_team,away_id,away_team,goals_h,goals_a,xg_h,xg_a,forecast_w,forecast_d,forecast_l
28962,2026-01-01 17:30:00,True,78,Crystal Palace,228,Fulham,1,1,2.35346,1.75434,0.5385,0.2305,0.231
28963,2026-01-01 17:30:00,True,87,Liverpool,245,Leeds,0,0,1.67833,0.15936,0.8379,0.1434,0.0187
28959,2026-01-01 20:00:00,True,244,Brentford,82,Tottenham,0,0,0.556304,0.608309,0.2635,0.4337,0.3028
28966,2026-01-01 20:00:00,True,77,Sunderland,88,Manchester City,0,0,0.962141,2.44247,0.0985,0.1597,0.7418
28972,2026-01-03 12:30:00,True,71,Aston Villa,249,Nottingham Forest,3,1,1.42988,0.8982,0.5062,0.2854,0.2084
28970,2026-01-03 15:00:00,True,229,Wolverhampton Wanderers,81,West Ham,3,0,2.23925,0.235678,0.9109,0.0781,0.011
28973,2026-01-03 15:00:00,True,220,Brighton,92,Burnley,2,0,1.4717,0.254551,0.7247,0.2236,0.0517
28971,2026-01-03 17:30:00,True,73,Bournemouth,83,Arsenal,2,3,0.947846,1.28,0.2551,0.2988,0.4461
28976,2026-01-04 12:30:00,True,245,Leeds,89,Manchester United,1,1,0.970138,1.94781,0.1395,0.2351,0.6254
28975,2026-01-04 15:00:00,True,228,Fulham,87,Liverpool,2,2,0.609182,1.7188,0.0957,0.2177,0.6866
28974,2026-01-04 15:00:00,True,72,Everton,244,Brentford,2,4,1.00566,3.05179,0.0586,0.1135,0.8279
28968,2026-01-04 15:00:00,True,86,Newcastle United,78,Crystal Palace,2,0,2.72764,1.27825,0.7489,0.1653,0.0858
28969,2026-01-04 15:00:00,True,82,Tottenham,77,Sunderland,1,1,1.4175,0.467481,0.6917,0.2321,0.0762
28977,2026-01-04 17:30:00,True,88,Manchester City,80,Chelsea,1,1,1.03049,2.03726,0.1151,0.2012,0.6837
28987,2026-01-06 20:00:00,True,81,West Ham,249,Nottingham Forest,1,2,1.73697,1.26683,0.4809,0.2855,0.2336
28978,2026-01-07 19:30:00,True,72,Everton,229,Wolverhampton Wanderers,1,1,1.63321,0.71329,0.6437,0.2323,0.124
28979,2026-01-07 19:30:00,True,73,Bournemouth,82,Tottenham,3,2,1.19014,1.6261,0.2401,0.2869,0.473
28981,2026-01-07 19:30:00,True,244,Brentford,77,Sunderland,3,0,3.86096,1.50644,0.8769,0.0866,0.0365
28983,2026-01-07 19:30:00,True,78,Crystal Palace,71,Aston Villa,0,0,1.32505,2.07015,0.193,0.2327,0.5743
28984,2026-01-07 19:30:00,True,228,Fulham,80,Chelsea,2,1,1.06013,2.45107,0.1032,0.1646,0.7322
28985,2026-01-07 19:30:00,True,88,Manchester City,220,Brighton,1,1,2.95904,1.33162,0.7562,0.1607,0.0831
28982,2026-01-07 20:15:00,True,92,Burnley,89,Manchester United,2,2,0.31971,2.52488,0.0234,0.1025,0.8741
28986,2026-01-07 20:15:00,True,86,Newcastle United,245,Leeds,4,3,2.43495,2.35318,0.401,0.2529,0.3461
28980,2026-01-08 20:00:00,True,83,Arsenal,87,Liverpool,0,0,0.701832,0.318642,0.4144,0.4412,0.1444
28993,2026-01-17 12:30:00,True,89,Manchester United,88,Manchester City,2,0,3.07278,0.387015,0.9392,0.0489,0.0119
28990,2026-01-17 15:00:00,True,80,Chelsea,244,Brentford,2,0,1.62263,1.47521,0.4189,0.2809,0.3002
28991,2026-01-17 15:00:00,True,245,Leeds,228,Fulham,1,0,2.16898,0.258796,0.864,0.1163,0.0197
28992,2026-01-17 15:00:00,True,87,Liverpool,92,Burnley,1,1,3.49045,0.546971,0.9471,0.041,0.0119
28995,2026-01-17 15:00:00,True,77,Sunderland,78,Crystal Palace,2,1,1.84601,1.15169,0.5566,0.26,0.1834
28996,2026-01-17 15:00:00,True,82,Tottenham,81,West Ham,1,2,1.65292,2.76761,0.1425,0.202,0.6555
28994,2026-01-17 17:30:00,True,249,Nottingham Forest,83,Arsenal,0,0,0.318481,2.86323,0.0086,0.0474,0.944
28997,2026-01-18 14:00:00,True,229,Wolverhampton Wanderers,86,Newcastle United,0,0,0.390216,0.813313,0.1649,0.3912,0.4439
28988,2026-01-18 16:30:00,True,71,Aston Villa,72,Everton,0,1,0.905393,0.745859,0.3565,0.3572,0.2863
28989,2026-01-19 20:00:00,True,220,Brighton,73,Bournemouth,1,1,0.995777,1.69737,0.1781,0.2457,0.5762
29007,2026-01-24 12:30:00,True,81,West Ham,77,Sunderland,3,1,2.18675,0.713838,0.777,0.1625,0.0605
29005,2026-01-24 15:00:00,True,88,Manchester City,229,Wolverhampton Wanderers,2,0,1.0654,0.542683,0.4964,0.3317,0.1719
29001,2026-01-24 15:00:00,True,92,Burnley,82,Tottenham,2,2,1.54884,2.59093,0.153,0.2126,0.6344
29004,2026-01-24 15:00:00,True,228,Fulham,220,Brighton,2,1,1.13243,1.94652,0.1687,0.2381,0.5932
28998,2026-01-24 17:30:00,True,73,Bournemouth,87,Liverpool,3,2,3.31474,0.937335,0.8979,0.0725,0.0296
29000,2026-01-25 14:00:00,True,244,Brentford,249,Nottingham Forest,0,2,2.00413,1.38958,0.5375,0.2893,0.1732
29002,2026-01-25 14:00:00,True,78,Crystal Palace,80,Chelsea,1,3,2.41793,3.08817,0.2467,0.2125,0.5408
29006,2026-01-25 14:00:00,True,86,Newcastle United,71,Aston Villa,0,2,1.95484,1.32143,0.5465,0.2409,0.2126
28999,2026-01-25 16:30:00,True,83,Arsenal,89,Manchester United,2,3,1.42411,0.640902,0.6023,0.2707,0.127
29003,2026-01-26 20:00:00,True,72,Everton,245,Leeds,1,1,0.889916,1.6766,0.1546,0.259,0.5864
29015,2026-01-31 15:00:00,True,245,Leeds,83,Arsenal,0,4,0.17871,3.54427,0.0022,0.0201,0.9777
29010,2026-01-31 15:00:00,True,220,Brighton,72,Everton,1,1,1.42825,1.28126,0.3888,0.2998,0.3114
29017,2026-01-31 15:00:00,True,229,Wolverhampton Wanderers,73,Bournemouth,0,2,2.10353,1.59116,0.4904,0.26,0.2496
29009,2026-01-31 17:30:00,True,80,Chelsea,81,West Ham,3,2,2.66133,1.72585,0.6123,0.2211,0.1666
29014,2026-01-31 20:00:00,True,87,Liverpool,86,Newcastle United,4,1,3.09973,0.284319,0.9463,0.0443,0.0094
29008,2026-02-01 14:00:00,True,71,Aston Villa,244,Brentford,0,1,2.15316,0.314916,0.8302,0.1363,0.0335
29012,2026-02-01 14:00:00,True,89,Manchester United,228,Fulham,3,2,1.84362,1.71998,0.3948,0.2664,0.3388
29013,2026-02-01 14:00:00,True,249,Nottingham Forest,78,Crystal Palace,1,1,0.987254,1.648,0.1767,0.2772,0.5461
29016,2026-02-01 16:30:00,True,82,Tottenham,88,Manchester City,2,2,1.49738,2.03614,0.2511,0.2387,0.5102
29011,2026-02-02 20:00:00,True,77,Sunderland,92,Burnley,3,0,1.8865,0.126371,0.8773,0.1119,0.0108
29023,2026-02-06 20:00:00,True,245,Leeds,249,Nottingham Forest,3,1,3.38179,1.6608,0.7774,0.1399,0.0827
29025,2026-02-07 12:30:00,True,89,Manchester United,82,Tottenham,2,0,2.16576,0.593404,0.7759,0.1586,0.0655
29027,2026-02-07 15:00:00,True,229,Wolverhampton Wanderers,80,Chelsea,1,3,1.11372,3.76278,0.0241,0.0624,0.9135
29022,2026-02-07 15:00:00,True,228,Fulham,72,Everton,1,2,2.20126,1.88778,0.4559,0.2296,0.3145
29021,2026-02-07 15:00:00,True,92,Burnley,81,West Ham,0,2,1.84644,1.1223,0.5545,0.2637,0.1818
29019,2026-02-07 15:00:00,True,83,Arsenal,77,Sunderland,3,0,1.19401,0.427225,0.569,0.3173,0.1137
29018,2026-02-07 15:00:00,True,73,Bournemouth,71,Aston Villa,1,1,1.82646,0.646496,0.6897,0.2097,0.1006
29026,2026-02-07 17:30:00,True,86,Newcastle United,244,Brentford,2,3,3.3215,1.65022,0.7774,0.1378,0.0848
29020,2026-02-08 14:00:00,True,220,Brighton,78,Crystal Palace,0,1,0.737798,0.928404,0.2553,0.3644,0.3803
29024,2026-02-08 16:30:00,True,87,Liverpool,88,Manchester City,1,2,1.26652,2.41476,0.1318,0.1961,0.6721
29030,2026-02-10 19:30:00,True,80,Chelsea,245,Leeds,2,2,3.21176,1.28948,0.8272,0.1298,0.043
29032,2026-02-10 19:30:00,True,72,Everton,73,Bournemouth,1,2,2.33114,1.4121,0.6046,0.235,0.1604
29036,2026-02-10 19:30:00,True,82,Tottenham,86,Newcastle United,1,2,1.68925,2.46991,0.2104,0.2207,0.5689
29037,2026-02-10 20:15:00,True,81,West Ham,89,Manchester United,1,1,1.30746,0.735767,0.5384,0.2938,0.1678
29033,2026-02-11 19:30:00,True,88,Manchester City,228,Fulham,3,0,1.67722,1.05283,0.5343,0.2546,0.2111
29034,2026-02-11 19:30:00,True,249,Nottingham Forest,229,Wolverhampton Wanderers,0,0,3.69094,0.406959,0.9709,0.0249,0.0042
29028,2026-02-11 19:30:00,True,71,Aston Villa,220,Brighton,1,0,0.576138,0.481306,0.3064,0.4474,0.2462
29031,2026-02-11 19:30:00,True,78,Crystal Palace,92,Burnley,2,3,2.1276,0.691273,0.7338,0.1809,0.0853
29035,2026-02-11 20:15:00,True,77,Sunderland,87,Liverpool,0,1,0.693794,3.08172,0.0341,0.0804,0.8855
29029,2026-02-12 20:00:00,True,244,Brentford,83,Arsenal,1,1,1.81154,0.78418,0.6367,0.2304,0.1329
29087,2026-02-18 20:00:00,True,229,Wolverhampton Wanderers,83,Arsenal,2,2,0.173119,2.01018,0.0145,0.0862,0.8993
29038,2026-02-21 15:00:00,True,71,Aston Villa,245,Leeds,1,1,1.25439,1.27855,0.349,0.2903,0.3607
29039,2026-02-21 15:00:00,True,244,Brentford,220,Brighton,0,2,1.69023,1.37203,0.4477,0.2841,0.2682
29040,2026-02-21 15:00:00,True,80,Chelsea,92,Burnley,1,1,2.51534,1.01255,0.7629,0.1628,0.0743
29047,2026-02-21 17:30:00,True,81,West Ham,73,Bournemouth,0,0,2.34412,0.522731,0.8387,0.1203,0.041
29043,2026-02-21 20:00:00,True,88,Manchester City,86,Newcastle United,2,1,2.22648,0.507954,0.8142,0.1373,0.0485
29044,2026-02-22 14:00:00,True,249,Nottingham Forest,87,Liverpool,0,1,0.934768,2.39634,0.0658,0.1486,0.7856
29045,2026-02-22 14:00:00,True,77,Sunderland,228,Fulham,1,3,1.7609,2.16696,0.2628,0.2664,0.4708
29041,2026-02-22 14:00:00,True,78,Crystal Palace,229,Wolverhampton Wanderers,1,0,2.03559,1.67749,0.459,0.2691,0.2719
29046,2026-02-22 16:30:00,True,82,Tottenham,83,Arsenal,1,4,0.383264,3.31701,0.0088,0.0401,0.9511
29042,2026-02-23 20:00:00,True,72,Everton,89,Manchester United,0,1,0.560924,1.4547,0.1076,0.245,0.6474
29057,2026-02-27 20:00:00,True,229,Wolverhampton Wanderers,71,Aston Villa,2,0,1.50771,1.31328,0.4226,0.2827,0.2947
29048,2026-02-28 12:30:00,True,73,Bournemouth,77,Sunderland,1,1,1.82434,1.07887,0.5551,0.2648,0.1801
