season,league,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,home_goals,away_goals
2025,Bundesliga,TOTAL,Over2.5,Strong,1.564,0.1510489832849815,2,3
2025,La Liga,TOTAL,Over2.5,Strong,2.0740000000000003,0.2624347826086959,1,0
2025,Premier League,TOTAL,Over2.5,Strong,1.938,0.34557235164870126,0,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.948,0.17861014397868136,1,0
2025,Ligue 1,TOTAL,Over2.5,Medium,1.83,0.07963303729991589,0,0
2025,Ligue 1,TOTAL,Over2.5,Medium,1.826,0.08217782560875686,2,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.89,0.1332920703885423,3,3
2025,Bundesliga,TOTAL,Over2.5,Strong,1.765,0.1795672630292917,3,1
2025,Ligue 1,TOTAL,Over2.5,Medium,1.812,0.0690158240969263,0,2
2025,Serie A,TOTAL,Over2.5,Strong,2.558,0.19532710280373822,0,0
2025,Ligue 1,TOTAL,Over2.5,Medium,1.594,0.07903316468362687,6,2
2025,Ligue 1,TOTAL,Over2.5,Strong,1.816,0.10767625212921272,1,0
2025,Premier League,TOTAL,Over2.5,Strong,1.814,0.17762481717147982,2,3
2025,Ligue 1,TOTAL,Over2.5,Weak,1.684,0.0364879896031276,3,3
2025,Ligue 1,TOTAL,Over2.5,Strong,1.904,0.2512154573916847,2,2
2025,Ligue 1,TOTAL,Over2.5,Weak,1.81,0.03888079133129807,1,2
2025,Bundesliga,1X2,Away,Strong,2.89,0.1682762879966675,0,0
2025,Ligue 1,TOTAL,Over2.5,Weak,1.7920000000000003,0.029139365546405838,0,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.9939999999999998,0.16678344089610175,0,3
2025,Bundesliga,1X2,Away,Medium,2.59,0.05123143656732787,3,3
2025,Serie A,TOTAL,Over2.5,Strong,2.3560000000000003,0.10093457943925244,0,0
2025,Premier League,TOTAL,Over2.5,Strong,1.722,0.3028946911904904,2,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.624,0.12809596517843969,3,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.6039999999999999,0.1109359709187312,3,4
2025,La Liga,TOTAL,Over2.5,Strong,2.028,0.40718367346938766,1,2
2025,Premier League,1X2,Away,Strong,2.44,0.12147566102363849,2,1
2025,Serie A,TOTAL,Over2.5,Strong,2.5949999999999998,0.2048214285714285,2,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.5540000000000003,0.10745924774960858,3,1
2025,La Liga,TOTAL,Over2.5,Strong,1.7060000000000002,0.18375510204081635,3,2
2025,Premier League,TOTAL,Over2.5,Strong,1.8379999999999999,0.4204261052323828,2,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.922,0.14523739065261032,0,1
