date_utc,round,season,home_team,away_team,score,outcome,odds,p_model,p_market,edge,ev,draw_risk_score,won_flag,case_type,shock_reason,home_coach_name,away_coach_name,home_formation,away_formation,home_prev_coach,away_prev_coach,home_prev_formation,away_prev_formation
2025-09-13 16:30:00,Regular Season - 4,2025,West Ham,Tottenham,0:3,Home,3.75,0.4299638096723033,0.2531692760749341,0.1767945335973692,0.6123642862711376,0.4073804475851982,LOSS,context_shock,home:recent coach change; away:recent coach change; away:formation surprise;,Graham Stephen Potter,Thomas Frank,,,Graham Stephen Potter,Thomas Frank,4-2-3-1,4-3-3
2025-05-20 19:00:00,Regular Season - 37,2024,Crystal Palace,Wolves,4:2,Home,2.61,0.5326058155864708,0.370751200588902,0.1618546149975688,0.3901011786806887,0.3251658568307921,WIN,correct_call,,O. Glasner,Vítor Pereira,3-4-2-1,3-4-2-1,O. Glasner,Vítor Pereira,3-4-2-1,3-4-2-1
2025-12-26 20:00:00,Regular Season - 18,2025,Manchester United,Newcastle,1:0,Home,2.106,0.6586699734954029,0.450368293725747,0.2083016797696558,0.3871589641813184,0.3892963384719514,WIN,correct_call,home:recent coach change; home:formation surprise; away:recent coach change;,Ruben Amorim,Eddie Howe,4-2-3-1,4-3-3,Ruben Amorim,Eddie Howe,3-4-2-1,4-3-3
2025-04-21 19:00:00,Regular Season - 33,2024,Tottenham,Nottingham Forest,1:2,Home,2.64,0.5192021883586173,0.3693069306930693,0.149895257665548,0.3706937772667498,0.4121115502998075,LOSS,clean_model_error,,A. Postecoglou,Nuno Espírito Santo,4-3-3,4-2-2-2,A. Postecoglou,Nuno Espírito Santo,4-3-3,4-2-3-1
2025-03-09 14:00:00,Regular Season - 28,2024,Tottenham,Bournemouth,2:2,Home,2.75,0.493551938863205,0.3461313584096667,0.1474205804535382,0.3572678318738136,0.4086298722734396,LOSS,clean_model_error,,A. Postecoglou,Andoni Iraola,4-3-3,4-2-3-1,A. Postecoglou,Andoni Iraola,4-3-3,4-2-3-1
2026-01-25 14:00:00,Regular Season - 23,2025,Crystal Palace,Chelsea,1:3,Home,3.418,0.3962623453224771,0.2772218777762767,0.1190404675462004,0.354424696312227,0.306806648938611,LOSS,context_shock,away:recent coach change;,Oliver Glasner,Liam Rosenior,3-4-2-1,4-2-3-1,Oliver Glasner,Liam Rosenior,3-4-2-1,4-2-3-1
2025-11-29 17:30:00,Regular Season - 13,2025,Everton,Newcastle,1:4,Home,2.874,0.4695957443581836,0.3303561385935482,0.1392396057646353,0.3496181692854196,0.4155262595248751,LOSS,clean_model_error,,David William Moyes,Edward John Frank Howe,4-2-3-1,4-3-3,David William Moyes,Edward John Frank Howe,4-2-3-1,4-5-1
2026-04-12 13:00:00,Regular Season - 32,2025,Sunderland,Tottenham,1:0,Home,2.668,0.505377915412958,0.3557128951919349,0.149665020221023,0.3483482783217719,0.3141883189578856,WIN,correct_call,away:recent coach change;,Regis Le Bris,Roberto De Zerbi,4-2-3-1,4-2-3-1,Regis Le Bris,Igor Tudor,4-1-4-1,4-4-2
2025-10-18 14:00:00,Regular Season - 8,2025,Brighton,Newcastle,2:1,Home,2.486,0.5418637929549457,0.3800398011455097,0.1618239918094359,0.3470733892859949,0.4057734416826776,WIN,correct_call,,Fabian Marc Hürzeler,Edward John Frank Howe,4-2-3-1,4-3-3,Fabian Marc Hürzeler,Edward John Frank Howe,4-2-3-1,4-3-3
2025-04-19 16:30:00,Regular Season - 33,2024,Aston Villa,Newcastle,4:1,Home,2.35,0.5724608396059832,0.3973745802381195,0.1750862593678636,0.3452829730740605,0.4118294743494271,WIN,correct_call,,Unai Emery,E. Howe,4-2-3-1,4-3-3,Unai Emery,E. Howe,4-2-3-1,4-3-3
2025-05-03 16:30:00,Regular Season - 35,2024,Arsenal,Bournemouth,1:2,Home,2.07,0.6496334206528785,0.4675236447397752,0.1821097759131033,0.3447411807514584,0.3030757129762421,LOSS,clean_model_error,,Mikel Arteta,Andoni Iraola,4-3-3,4-2-3-1,Mikel Arteta,Andoni Iraola,4-3-3,4-2-3-1
