league,odds_bucket,edge_bucket,draw_risk_bucket,n,roi,profit,hit_rate,avg_ev,avg_edge,avg_odds,calibration_gap
78,4.00+,-0.02-0.02,<=0.22,8,3.9125,31.3,0.25,-0.057324182047190156,-0.000901976520194075,23.3625,-0.208235929977561
61,4.00+,-0.02-0.02,0.30-0.34,1,3.022,3.022,1.0,-0.0734794838082073,-0.0047066034719305,4.022,-0.7696368681770779
61,3.20-4.00,0.08-0.12,0.30-0.34,1,2.8019999999999996,2.8019999999999996,1.0,0.2668465810794054,0.0823233102535933,3.802,-0.6667946919833231
61,3.20-4.00,0.08-0.12,0.34+,1,2.76,2.76,1.0,0.3341085724959973,0.1034694920892032,3.76,-0.6451838902936178
78,3.20-4.00,0.12+,0.34+,1,2.75,2.75,1.0,0.4695262295218867,0.1396367630379625,3.75,-0.6081263387941636
140,3.20-4.00,0.12+,0.34+,1,2.6,2.6,1.0,0.4818568755534846,0.1513037500914077,3.6,-0.588373090124032
135,4.00+,0.02-0.05,0.26-0.30,2,2.585,5.17,0.5,0.13681304119724444,0.0267679989459004,6.739,-0.3308146849432311
78,3.20-4.00,0.02-0.05,0.26-0.30,1,2.398000000000001,2.398000000000001,1.0,0.0665901171819907,0.0357310073769272,3.398000000000001,-0.6861123845844642
78,2.40-3.20,0.12+,0.34+,4,1.8065,7.226,1.0,0.4353325469817666,0.1738542042736947,2.8064999999999998,-0.4856278828657852
78,2.40-3.20,0.02-0.05,0.26-0.30,1,1.6580000000000004,1.6580000000000004,1.0,0.0760250265000748,0.0491278743341216,2.6580000000000004,-0.5951749335966612
140,2.40-3.20,0.12+,0.30-0.34,1,1.592,1.592,1.0,0.3721456303105863,0.1605060059264298,2.592,-0.4706228278122738
61,4.00+,<-0.02,<=0.22,8,1.5099999999999998,12.079999999999998,0.25,-0.4320536038530059,-0.03250200536595975,12.33,-0.2004586506076822
135,2.00-2.40,-0.02-0.02,0.34+,1,1.2640000000000002,1.2640000000000002,1.0,-0.0295130837965424,0.0079855689247517,2.264,-0.5713397013235613
135,2.00-2.40,<-0.02,0.34+,2,1.236,2.472,1.0,-0.13426300480513395,-0.0359030847077529,2.2359999999999998,-0.6126569899230476
78,2.00-2.40,-0.02-0.02,0.34+,2,1.2140000000000002,2.4280000000000004,1.0,-0.055634298570082445,-0.0020759538437077505,2.2140000000000004,-0.5733313889183612
78,2.00-2.40,0.12+,0.26-0.30,4,1.2120000000000002,4.848000000000001,1.0,0.2872312512266017,0.1514087823732828,2.212,-0.4170568600800726
78,2.00-2.40,0.05-0.08,0.34+,1,1.2000000000000002,1.2000000000000002,1.0,0.0715537915039576,0.0548665153985631,2.2,-0.5129300947709283
