league,date_utc,home_team,away_team,outcome,odds,p_model,p_market,edge,ev,score,won_flag
39,2025-09-13 14:00:00,Bournemouth,Brighton,Home,2.3920000000000003,0.511370536785345,0.3968302968982118,0.1145402398871331,0.2231983239905455,2:1,WIN
39,2025-12-14 14:00:00,Nottingham Forest,Tottenham,Home,2.3920000000000003,0.5103448010068535,0.39766422418988,0.1126805768169735,0.2207447640083939,3:0,WIN
39,2025-12-22 20:00:00,Fulham,Nottingham Forest,Home,2.248,0.5418281057444531,0.4225322517546098,0.1192958539898432,0.2180295817135302,1:0,WIN
39,2025-04-01 19:00:00,Nottingham Forest,Manchester United,Home,2.38,0.5108080837385723,0.3923052769009569,0.1185028068376154,0.2157232392978021,1:0,WIN
39,2025-02-15 15:00:00,Fulham,Nottingham Forest,Home,2.23,0.5431014502744186,0.4368604668136103,0.1062409834608082,0.2111162341119534,2:1,WIN
39,2025-12-03 19:30:00,Brighton,Aston Villa,Home,2.274,0.5320258962883632,0.4176576565849199,0.1143682397034432,0.2098268881597378,3:4,LOSS
39,2025-08-24 13:00:00,Crystal Palace,Nottingham Forest,Home,2.184,0.5504832426210693,0.434188145166526,0.1162950974545433,0.2022554018844153,1:1,LOSS
39,2025-04-14 19:00:00,Bournemouth,Fulham,Home,2.13,0.5640661737207974,0.4472795433820797,0.1167866303387176,0.2014609500252984,1:0,WIN
39,2026-01-25 14:00:00,Brentford,Nottingham Forest,Home,2.146,0.5589045169916184,0.4421660052409907,0.1167385117506276,0.1994090934640129,0:2,LOSS
39,2026-01-01 17:30:00,Crystal Palace,Fulham,Home,2.1380000000000003,0.5603935328606842,0.4460195335330065,0.1143739993276776,0.1981213732561428,1:1,LOSS
61,2025-08-17 13:00:00,Stade Brestois 29,Lille,Draw,3.622,0.2801370553064624,0.2627271427600749,0.0174099125463874,0.0146564143200067,3:3,WIN
61,2025-11-30 16:15:00,Le Havre,Lille,Draw,3.5380000000000003,0.2864519552111889,0.2664546850324307,0.0199972701787581,0.0134670175371862,0:1,LOSS
61,2025-12-06 18:00:00,Toulouse,Strasbourg,Draw,3.4159999999999995,0.2954420351243633,0.2772363979238293,0.018205637200534,0.0092299919848251,1:0,LOSS
61,2026-02-22 16:15:00,Nice,Lorient,Draw,3.4579999999999997,0.2916542181955756,0.2718732575620338,0.0197809606335418,0.0085402865203003,3:3,WIN
61,2025-08-24 15:15:00,Le Havre,Lens,Draw,3.4799999999999995,0.2887613576474395,0.2702122008791222,0.0185491567683173,0.0048895246130895,1:2,LOSS
61,2025-10-04 17:00:00,Stade Brestois 29,Nantes,Draw,3.696,0.2713525614230696,0.259036043937118,0.0123165174859515,0.0029190670196654,0:0,WIN
61,2025-10-29 20:05:00,Paris FC,Lyon,Draw,3.428,0.2924212036609681,0.2771087042281528,0.0153124994328153,0.0024198861497988,3:3,WIN
61,2025-09-28 15:15:00,Lille,Lyon,Draw,3.534,0.283407506191535,0.2702784664068847,0.0131290397846502,0.0015621268808845,0:1,LOSS
61,2025-11-30 14:00:00,Strasbourg,Stade Brestois 29,Draw,3.59,0.2783373908008879,0.2624172562315732,0.0159201345693146,-0.0007687670248123,1:2,LOSS
61,2026-04-12 15:15:00,Toulouse,Lille,Draw,3.248,0.3072210530479402,0.2909699837824687,0.0162510692654714,-0.0021460197002901,0:4,LOSS
78,2025-01-14 19:30:00,VfL Wolfsburg,Borussia Mönchengladbach,Draw,3.99,0.2955243318962409,0.2468043794833072,0.0487199524129336,0.1791420842660014,5:1,LOSS
78,2025-02-15 14:30:00,Union Berlin,Borussia Mönchengladbach,Draw,3.79,0.3095357889802801,0.2596994208072923,0.0498363681729878,0.1731406402352617,1:2,LOSS
78,2025-01-25 14:30:00,FC Augsburg,1. FC Heidenheim,Draw,3.65,0.3146658445816217,0.2648358616973388,0.0498299828842828,0.1485303327229192,2:1,LOSS
78,2025-09-20 13:30:00,Hamburger SV,1. FC Heidenheim,Draw,3.61,0.3138279111484353,0.2647124488612446,0.0491154622871906,0.1329187592458514,2:1,LOSS
78,2025-10-03 18:30:00,1899 Hoffenheim,1. FC Köln,Draw,3.87,0.2898944930270867,0.2478912929773812,0.0420032000497054,0.1218916880148255,0:1,LOSS
78,2026-03-21 14:30:00,1. FC Köln,Borussia Mönchengladbach,Draw,3.592,0.3093615960114727,0.2673088774721244,0.0420527185393482,0.1112268528732101,3:3,WIN
78,2025-11-08 17:30:00,Borussia Mönchengladbach,1. FC Köln,Draw,3.586,0.308170218727508,0.2648369190375511,0.0433332996899569,0.1050984043568439,3:1,LOSS
78,2025-01-15 19:30:00,Union Berlin,FC Augsburg,Draw,3.71,0.2966645924085199,0.265768352126269,0.0308962402822509,0.1006256378356087,0:2,LOSS
78,2025-11-01 14:30:00,FC St. Pauli,Borussia Mönchengladbach,Draw,3.5599999999999996,0.3088118807143455,0.2681044976981664,0.0407073830161791,0.0993702953430699,0:4,LOSS
78,2025-11-21 19:30:00,FSV Mainz 05,1899 Hoffenheim,Draw,3.692,0.2977081501784064,0.2569562326762151,0.0407519175021913,0.0991384904586765,1:1,WIN
135,2025-01-19 14:00:00,Parma,Venezia,Draw,3.62,0.3443875294381783,0.2721687590692839,0.0722187703688944,0.2466828565662053,1:1,WIN
135,2025-02-16 14:00:00,Udinese,Empoli,Draw,3.73,0.333967821953323,0.2639225903381009,0.0700452316152221,0.2456999758858948,3:0,LOSS
135,2025-03-30 10:30:00,Cagliari,Monza,Draw,3.77,0.327871724468046,0.2610875187585811,0.0667842057094649,0.2360764012445335,3:0,LOSS
