league,market,bets,wins,hit_rate,roi,profit
39,TOTAL,177,63,0.3559322033898305,0.10499999999999997,18.584999999999994
39,Home,47,25,0.5319148936170213,0.08431914893617018,3.9629999999999983
39,Draw,130,38,0.2923076923076923,0.11247692307692304,14.621999999999996
61,TOTAL,58,18,0.3103448275862069,0.06010344827586208,3.4860000000000007
61,Draw,58,18,0.3103448275862069,0.06010344827586208,3.4860000000000007
78,TOTAL,64,19,0.296875,0.08621875000000004,5.5180000000000025
78,Draw,64,19,0.296875,0.08621875000000004,5.5180000000000025
135,TOTAL,185,69,0.372972972972973,0.14692972972972973,27.182
135,Home,15,11,0.7333333333333333,0.020400000000000005,0.30600000000000005
135,Draw,142,47,0.33098591549295775,0.17277464788732394,24.534
135,Away,28,11,0.39285714285714285,0.08364285714285716,2.3420000000000005
140,TOTAL,68,21,0.3088235294117647,0.05997058823529408,4.077999999999998
140,Draw,68,21,0.3088235294117647,0.05997058823529408,4.077999999999998
