league,outcome,odds_bucket,edge_bucket,draw_risk_bucket,n,model_logloss,market_logloss,model_minus_market_logloss,avg_p_model,actual_win_rate,avg_p_market,calibration_gap,avg_edge,avg_ev,avg_odds,roi,profit,hit_rate,clv,status
135,Draw,4.00+,0.08-0.12,0.22-0.26,1,1.3046670519813075,1.8591116512575465,-0.554444599276239,0.2712628364358674,1.0,0.1558109833971903,-0.7287371635641327,0.11545185303867711,0.6275770186152045,6.0,5.0,5.0,1.0,,BLOCKED
78,Draw,4.00+,0.08-0.12,0.22-0.26,1,1.278919973397117,1.623120309556012,-0.344200336158895,0.27833775035201397,1.0,0.19728215628417478,-0.7216622496479861,0.08105559406783919,0.3889053742565498,4.99,3.99,3.99,1.0,,BLOCKED
78,Away,4.00+,-0.02-0.02,<=0.22,8,0.8136070371661341,0.7875134613370107,0.026093575829123417,0.04176407002243906,0.25,0.04266604654263313,-0.20823592997756094,-0.0009019765201940702,-0.05732418204719014,23.3625,3.9125,31.3,0.25,,BLOCKED
78,Draw,4.00+,0.08-0.12,0.26-0.30,1,1.2011231808776528,1.5691479056360578,-0.368024724758405,0.3008561062453768,1.0,0.20822253203295127,-0.6991438937546233,0.09263357421242552,0.37310726890389967,4.564,3.564,3.564,1.0,,BLOCKED
78,Home,4.00+,<-0.02,0.26-0.30,1,1.5760232411496258,1.4822296178118308,0.09379362333779495,0.20679584236878976,1.0,0.2271307087346008,-0.7932041576312102,-0.020334866365811055,-0.131457462051083,4.2,3.2,3.2,1.0,,BLOCKED
140,Draw,4.00+,0.02-0.05,0.34+,1,1.3152305425416746,1.4130386865801587,-0.09780814403848415,0.26841243562052125,1.0,0.24340253425713054,-0.7315875643794787,0.025009901363390707,0.08707036426311099,4.05,3.05,3.05,1.0,,BLOCKED
61,Away,4.00+,-0.02-0.02,0.30-0.34,1,1.4680983810943462,1.4478730629228016,0.020225318171544604,0.2303631318229221,1.0,0.23506973529485264,-0.7696368681770779,-0.004706603471930554,-0.07347948380820735,4.022,3.0220000000000002,3.0220000000000002,1.0,,BLOCKED
61,Away,3.20-4.00,0.08-0.12,0.30-0.34,1,1.0989964383941375,1.3827725788293035,-0.28377614043516597,0.3332053080166769,1.0,0.2508819977630836,-0.6667946919833231,0.0823233102535933,0.2668465810794054,3.8019999999999996,2.8019999999999996,2.8019999999999996,1.0,,BLOCKED
39,Home,3.20-4.00,0.02-0.05,0.26-0.30,2,1.3015726379214754,1.3843885271214003,-0.08281588919992489,0.2721052235602588,1.0,0.25048702111899734,-0.7278947764397412,0.02161820244126142,0.03017696000623815,3.7859999999999996,2.7859999999999996,5.571999999999999,1.0,,BLOCKED
61,Away,3.20-4.00,0.08-0.12,0.34+,1,1.0361556245425907,1.3809223457983142,-0.3447667212557235,0.3548161097063823,1.0,0.2513466176171791,-0.6451838902936178,0.1034694920892032,0.33410857249599735,3.7600000000000002,2.7600000000000002,2.7600000000000002,1.0,,BLOCKED
78,Away,3.20-4.00,0.12+,0.34+,1,0.9368157839814284,1.3773865609670177,-0.44057077698558933,0.39187366120583644,1.0,0.2522368981678739,-0.6081263387941636,0.13963676303796252,0.4695262295218867,3.75,2.75,2.75,1.0,,BLOCKED
140,Home,3.20-4.00,0.02-0.05,0.34+,1,1.1870067626726397,1.363907093863487,-0.17690033119084725,0.30513323470146025,1.0,0.2556599356705256,-0.6948667652985397,0.04947329903093467,0.13326483368122344,3.714,2.714,2.714,1.0,,BLOCKED
135,Home,3.20-4.00,0.02-0.05,0.30-0.34,1,1.156159991732891,1.327798154438282,-0.1716381627053909,0.3146922846509733,1.0,0.26506024096385544,-0.6853077153490267,0.04963204368711788,0.14862683897605256,3.65,2.65,2.65,1.0,,BLOCKED
140,Away,3.20-4.00,0.12+,0.34+,1,0.887637898451932,1.3458314975067096,-0.45819359905477763,0.41162690987596795,1.0,0.26032315978456017,-0.588373090124032,0.15130375009140778,0.48185687555348466,3.6,2.6,2.6,1.0,,BLOCKED
135,Away,4.00+,0.02-0.05,0.26-0.30,2,1.0090699866008876,1.0853608783733504,-0.07629089177246273,0.16918531505676893,0.5,0.14241731611086852,-0.3308146849432311,0.026767998945900415,0.13681304119724447,6.739,2.585,5.17,0.5,,BLOCKED
78,Away,3.20-4.00,0.02-0.05,0.26-0.30,1,1.158720269829294,1.2795709856385595,-0.12085071580926554,0.3138876154155358,1.0,0.27815660803860853,-0.6861123845844642,0.03573100737692725,0.0665901171819907,3.3980000000000006,2.3980000000000006,2.3980000000000006,1.0,,BLOCKED
78,Home,3.20-4.00,0.12+,0.30-0.34,1,0.889446600385033,1.238001365452099,-0.34855476506706595,0.4108830723812988,1.0,0.2899631695983144,-0.5891169276187012,0.12091990278298437,0.35180530813447297,3.29,2.29,2.29,1.0,,BLOCKED
140,Home,3.20-4.00,0.12+,0.34+,1,0.8716519637462672,1.236680542190949,-0.36502857844468184,0.41826002781826754,1.0,0.2903464127401084,-0.5817399721817325,0.12791361507815913,0.35934509040936957,3.25,2.25,2.25,1.0,,BLOCKED
78,Home,3.20-4.00,<-0.02,0.34+,1,1.3322310378301618,1.212447431316908,0.11978360651325382,0.26388786025713823,1.0,0.2974683544303798,-0.7361121397428618,-0.03358049417324155,-0.15555884717715762,3.2,2.2,2.2,1.0,,BLOCKED
39,Draw,4.00+,0.02-0.05,<=0.22,2,0.9322114999837229,0.977388779509136,-0.04517727952541317,0.14176620303991277,0.5,0.11338079611302293,-0.3582337969600872,0.028385406926889838,0.26514263396537563,9.68,2.18,4.36,0.5,,BLOCKED
78,Home,2.40-3.20,0.12+,0.26-0.30,1,0.7826087384943228,1.1277927776145482,-0.34518403912022544,0.4572117083868218,1.0,0.32374705011799526,-0.5427882916131782,0.13346465826882653,0.32591395432178305,2.9,1.9,1.9,1.0,,BLOCKED
61,Home,2.40-3.20,0.02-0.05,0.30-0.34,2,0.9850602912718005,1.1059197219613854,-0.12085943068958493,0.37418900124255017,1.0,0.3313900552389547,-0.6258109987574498,0.04279894600359549,0.07002982104206301,2.87,1.8699999999999999,3.7399999999999998,1.0,,BLOCKED
61,Home,4.00+,-0.02-0.02,0.26-0.30,2,0.9858683581606984,0.9885003655677405,-0.0026320074070420585,0.18182040622335705,0.5,0.17078589677664532,-0.31817959377664295,0.011034509446711707,0.004808668163951646,5.532,1.819,3.638,0.5,,BLOCKED
78,Away,2.40-3.20,0.12+,0.34+,4,0.6686683766217045,1.0809389620823417,-0.4122705854606372,0.5143721171342148,1.0,0.3405179128605201,-0.4856278828657852,0.17385420427369475,0.4353325469817666,2.8064999999999998,1.8065,7.226,1.0,,BLOCKED
61,Home,2.40-3.20,0.08-0.12,0.34+,2,0.8068177806231822,1.0580270377025913,-0.2512092570794091,0.4462797894770135,1.0,0.34747958620234126,-0.5537202105229865,0.09880020327467229,0.2154288616256379,2.723,1.7229999999999999,3.4459999999999997,1.0,,BLOCKED
135,Home,2.40-3.20,0.02-0.05,0.30-0.34,1,0.9240945359091902,1.0486767710651335,-0.12458223515594324,0.39689062663607516,1.0,0.3504011033604476,-0.6031093733639248,0.04648952327562755,0.07239847317067505,2.702,1.702,1.702,1.0,,BLOCKED
