window,date_utc,league,match,score,bet_outcome,bet_odds,bet_prob,bet_ev,bet_edge,won,profit
2026-02-18__2026-03-20,2026-03-14 17:30:00+00:00,La Liga,Oviedo - Valencia,1:0,Away,2.63,0.541334199210855,0.4237089439245487,0.17842001621494424,0,-1.0
2025-12-20__2026-01-19,2026-01-16 19:30:00+00:00,Bundesliga,Werder Bremen - Eintracht Frankfurt,3:3,Away,2.59,0.5445083693818684,0.4102766766990391,0.17696789607472674,0,-1.0
2025-10-21__2025-11-20,2025-10-26 15:15:00+00:00,La Liga,Real Madrid - Barcelona,2:1,Draw,3.968,0.35537818369624136,0.4101406329066857,0.11340618842064945,0,-1.0
2026-04-19__2026-05-19,2026-05-17 19:00:00+00:00,Ligue 1,Nantes - Toulouse,0:0,Away,2.676,0.520625246274895,0.3931931590316191,0.16449621401683057,0,-1.0
2026-02-18__2026-03-20,2026-03-07 15:15:00+00:00,La Liga,Levante - Girona,1:1,Away,2.47,0.5567893466664733,0.37526968626618906,0.17369982333669348,0,-1.0
2025-12-20__2026-01-19,2026-01-10 14:30:00+00:00,Bundesliga,1. FC Heidenheim - 1. FC Köln,2:2,Away,2.336,0.5852792600175826,0.3672123514010728,0.1791890587000352,0,-1.0
2026-01-19__2026-02-18,2026-02-08 14:00:00+00:00,Serie A,Lecce - Udinese,2:1,Away,2.62,0.5205952675778031,0.36395960105384395,0.1591325413370831,0,-1.0
2025-10-21__2025-11-20,2025-10-26 16:15:00+00:00,Ligue 1,Rennes - Nice,1:2,Draw,3.532,0.38557493241990365,0.36185066130709975,0.11406368264506411,0,-1.0
2025-10-21__2025-11-20,2025-11-02 14:30:00+00:00,Bundesliga,1. FC Köln - Hamburger SV,4:1,Draw,3.684,0.36479574585438673,0.3439075277275607,0.10652726101043442,0,-1.0
2025-11-20__2025-12-20,2025-12-06 14:30:00+00:00,Bundesliga,1. FC Heidenheim - SC Freiburg,2:1,Away,2.004,0.6701979297079546,0.34307665113474095,0.19682507095967444,0,-1.0
2025-12-20__2026-01-19,2026-01-18 16:30:00+00:00,Bundesliga,FC Augsburg - SC Freiburg,2:2,Away,2.508,0.5324015136036937,0.33526299611806376,0.15009616603489256,0,-1.0
2025-10-21__2025-11-20,2025-10-26 11:30:00+00:00,Serie A,Torino - Genoa,2:1,Draw,3.1119999999999997,0.4273171266521838,0.3298108981415959,0.11843874877381833,0,-1.0
