window,date_utc,league,match,score,bet_outcome,bet_odds,bet_prob,bet_ev,bet_edge,won,profit
2026-01-19__2026-02-18,2026-01-31 14:00:00+00:00,Serie A,Pisa - Sassuolo,1:3,Away,2.558,0.5479800632821988,0.40173300187586447,0.1777726784382896,1,1.5579999999999998
2026-01-19__2026-02-18,2026-01-31 15:00:00+00:00,Premier League,Wolves - Bournemouth,0:2,Away,2.184,0.6326852177198252,0.3817845155000983,0.19829547206152615,1,1.1840000000000002
2025-12-20__2026-01-19,2025-12-27 15:00:00+00:00,Premier League,West Ham - Fulham,0:1,Away,2.5919999999999996,0.5319941529313741,0.37892884439812136,0.1645943818504612,1,1.5919999999999996
2026-04-19__2026-05-19,2026-05-16 13:30:00+00:00,Bundesliga,1. FC Heidenheim - FSV Mainz 05,0:2,Away,2.2920000000000003,0.5997590508342152,0.3746477445120213,0.1831824926684016,1,1.2920000000000003
2025-11-20__2025-12-20,2025-11-22 14:30:00+00:00,Bundesliga,1. FC Heidenheim - Borussia Mönchengladbach,0:3,Away,2.152,0.6351392157865977,0.3668195923727584,0.1941469935674217,1,1.1520000000000001
2025-12-20__2026-01-19,2025-12-28 14:00:00+00:00,Premier League,Sunderland - Leeds,1:1,Draw,3.2979999999999996,0.41247543135586323,0.36034397261163686,0.12520249169112402,1,2.2979999999999996
2025-11-20__2025-12-20,2025-12-20 14:30:00+00:00,Bundesliga,VfL Wolfsburg - SC Freiburg,3:4,Away,2.4539999999999997,0.5488737525780286,0.34693618882648214,0.1643012826590089,1,1.4539999999999997
2026-04-19__2026-05-19,2026-05-03 13:30:00+00:00,Bundesliga,FC St. Pauli - FSV Mainz 05,1:2,Away,2.6659999999999995,0.5006400222046841,0.33470629919768746,0.1462725532888517,1,1.6659999999999995
2026-03-20__2026-04-19,2026-03-21 14:30:00+00:00,Bundesliga,VfL Wolfsburg - Werder Bremen,0:1,Away,2.55,0.5145111830355535,0.3120035167406614,0.13856468755060142,1,1.5499999999999998
2025-11-20__2025-12-20,2025-11-22 14:30:00+00:00,Bundesliga,VfL Wolfsburg - Bayer Leverkusen,1:3,Away,2.164,0.605520239312546,0.3103457978723496,0.16779148336410754,1,1.1640000000000001
2025-11-20__2025-12-20,2025-12-03 19:30:00+00:00,Premier League,Wolves - Nottingham Forest,0:1,Away,2.2660000000000005,0.578102039864823,0.30997922233368924,0.1579586050116717,1,1.2660000000000005
2026-02-18__2026-03-20,2026-03-01 20:00:00+00:00,La Liga,Girona - Celta Vigo,1:2,Away,2.572,0.5089953462878324,0.309136030652305,0.14057886922558827,1,1.572
