Overall: bets=236 profit=39.887 roi=0.1690

By league/type
(('Bundesliga', '1X2'), 8, -1.04, -0.13, 0.375, 2.474, 0.1224)
(('Bundesliga', 'TOTAL'), 42, 6.171, 0.1469, 0.6429, 1.793, 0.2083)
(('La Liga', '1X2'), 1, 1.494, 1.494, 1.0, 2.494, 0.4311)
(('La Liga', 'TOTAL'), 28, -6.449, -0.2303, 0.3929, 1.945, 0.3246)
(('Ligue 1', '1X2'), 1, 0.642, 0.642, 1.0, 1.642, 0.0807)
(('Ligue 1', 'TOTAL'), 70, 8.91, 0.1273, 0.6143, 1.833, 0.1122)
(('Premier League', '1X2'), 3, -0.3, -0.1, 0.3333, 2.598, 0.1495)
(('Premier League', 'TOTAL'), 56, 12.228, 0.2184, 0.6786, 1.81, 0.2902)
(('Serie A', 'TOTAL'), 27, 18.23, 0.6752, 0.7037, 2.373, 0.2555)

By type/rating
(('1X2', 'Medium'), 4, -0.246, -0.0615, 0.5, 2.101, 0.0706)
(('1X2', 'Strong'), 9, 1.042, 0.1158, 0.4444, 2.591, 0.1841)
(('TOTAL', 'Medium'), 19, -0.888, -0.0467, 0.5263, 1.796, 0.0681)
(('TOTAL', 'Strong'), 189, 37.186, 0.1968, 0.6243, 1.92, 0.2492)
(('TOTAL', 'Weak'), 15, 2.793, 0.1862, 0.6667, 1.767, 0.0303)
