"entity_id","entity_name","entity_type","entity_load_interval","entity_last_load","entity_load_status","entity_load_mode","flag_active","dttm_load_created"
51,BI_TAXES,TRANSACTION,"1 day",2025-07-14 22:30:00.000,LOADED,RECREATE,true,2025-05-21 12:23:15.763
54,FI_COUNTERPARTY,TRANSACTION,"1 day",2025-07-15 01:30:00.000,LOADED,RECREATE,true,2025-05-21 12:23:46.950
55,ISUIP_INVESTMENT,TRANSACTION,"1 day",2025-07-15 02:30:00.000,LOADED,RECREATE,true,2025-06-04 13:33:24.937
46,BI_INVESTMENT,TRANSACTION,"1 day",2025-07-15 03:00:00.000,LOADED,RECREATE,true,2025-02-28 00:31:24.575
42,MANAGEMENT_REPORTING_1,TRANSACTION,"1 day",2025-07-15 03:00:00.000,LOADED,RECREATE,true,2024-09-27 13:30:38.359
47,SALES_SHIPMENT_FROM_PLANT,TRANSACTION,"1 day",2025-07-15 03:30:00.000,LOADED,RECREATE,true,2025-03-18 16:07:51.603
45,LOGISTICS,TRANSACTION,"1 day",2025-07-15 04:15:00.000,LOADED,RECREATE,true,2025-01-21 10:39:13.318
48,MANAGEMENT_REPORTING_2,TRANSACTION,"1 day",2025-07-15 04:30:00.000,LOADED,RECREATE,true,2025-04-17 14:44:44.567
49,MANAGEMENT_REPORTING_3,TRANSACTION,"1 day",2025-07-15 05:15:00.000,LOADED,RECREATE,true,2025-04-17 14:45:18.152
38,BI_FI_FACT_PAYMENTS,TRANSACTION,"1 day",2025-07-15 05:30:00.000,LOADED,RECREATE,true,2024-07-26 12:22:20.067
50,MANAGEMENT_REPORTING_4,TRANSACTION,"1 day",2025-07-15 08:30:00.000,LOADED,RECREATE,true,2025-04-17 14:46:08.986
56,FI_FIXED_ASSETS,TRANSACTION,"1 day",2025-07-16 01:00:00.000,LOADED,RECREATE,true,2025-07-15 09:50:13.603
44,MESDW_TABLES_V2,TRANSACTION,"1 day",2025-04-17 05:15:00.000,LOADED,RECREATE,true,2023-07-17 17:16:26.757
43,KPI_ACCOUNT,TRANSACTION,"06:00:00",2025-04-17 13:30:00.000,LOADED,RECREATE,true,2024-11-22 10:51:57.932
22,ENTITY_LOAD_API_SAP,API,"1 day",2024-06-15 19:00:00.000,LOADED,RECREATE,false,2023-10-10 11:32:43.150
7,TRANSACTION_ODS_VIEW_ZMK_TRACK_EXP,TRANSACTION,"1 day",2024-12-01 00:00:00.000,LOADED,RECREATE,false,2023-06-19 16:01:29.563
15,TEST_TRANSACTION_ODS_VIEW_ZMK_TRACK_EXP,TEST,"1 day",2024-06-16 19:00:00.000,LOADED,RECREATE,false,2023-07-11 10:58:49.173
